"spec","n_bg","seed","feature","mean_abs_shap","rank"
"n120_seed2026",120,2026,"Anxiety_total_score",0.159375615744912,1
"n120_seed2026",120,2026,"Depressive_symptoms_total_score",0.119739457784634,2
"n120_seed2026",120,2026,"Drowsiness_total_score",0.119716455987392,3
"n120_seed2026",120,2026,"AHI",0.0362894111783777,4
"n120_seed2026",120,2026,"Coffee_consumption",0.0142720094655145,5
"n120_seed2026",120,2026,"Stress_total_score",0.014227384642184,6
"n120_seed2026",120,2026,"Sports_status",0.0100396764079227,7
"n120_seed2026",120,2026,"MSaO2",0.00987426923999019,8
"n120_seed2026",120,2026,"Sleep_quality_total_score",0.00956865638977323,9
"n120_seed2027",120,2027,"Anxiety_total_score",0.167823933387155,1
"n120_seed2027",120,2027,"Drowsiness_total_score",0.124074244180115,2
"n120_seed2027",120,2027,"Depressive_symptoms_total_score",0.117477642478033,3
"n120_seed2027",120,2027,"AHI",0.033454538689462,4
"n120_seed2027",120,2027,"Stress_total_score",0.0151646288247584,5
"n120_seed2027",120,2027,"Coffee_consumption",0.0146065130510334,6
"n120_seed2027",120,2027,"MSaO2",0.00981089435725755,7
"n120_seed2027",120,2027,"Sleep_quality_total_score",0.00932161423997061,8
"n120_seed2027",120,2027,"Sports_status",0.00921319634010605,9
"n120_seed2028",120,2028,"Anxiety_total_score",0.174955794370751,1
"n120_seed2028",120,2028,"Drowsiness_total_score",0.122624818912778,2
"n120_seed2028",120,2028,"Depressive_symptoms_total_score",0.112280018229456,3
"n120_seed2028",120,2028,"AHI",0.0341461502124563,4
"n120_seed2028",120,2028,"Coffee_consumption",0.0148794750413259,5
"n120_seed2028",120,2028,"Stress_total_score",0.014748194253917,6
"n120_seed2028",120,2028,"Sports_status",0.0109631648064793,7
"n120_seed2028",120,2028,"MSaO2",0.0104755086233632,8
"n120_seed2028",120,2028,"Sleep_quality_total_score",0.00958398281798754,9
"n120_seed2029",120,2029,"Anxiety_total_score",0.163109358007638,1
"n120_seed2029",120,2029,"Drowsiness_total_score",0.12602272182223,2
"n120_seed2029",120,2029,"Depressive_symptoms_total_score",0.121325695083714,3
"n120_seed2029",120,2029,"AHI",0.0341846418587318,4
"n120_seed2029",120,2029,"Coffee_consumption",0.0160565249683352,5
"n120_seed2029",120,2029,"Stress_total_score",0.0153256911973398,6
"n120_seed2029",120,2029,"Sports_status",0.010791958223028,7
"n120_seed2029",120,2029,"MSaO2",0.0105297488096266,8
"n120_seed2029",120,2029,"Sleep_quality_total_score",0.0103604318682709,9
"n120_seed2030",120,2030,"Anxiety_total_score",0.172782256735971,1
"n120_seed2030",120,2030,"Drowsiness_total_score",0.120114894385092,2
"n120_seed2030",120,2030,"Depressive_symptoms_total_score",0.117382585952356,3
"n120_seed2030",120,2030,"AHI",0.0327057163032382,4
"n120_seed2030",120,2030,"Coffee_consumption",0.0146227753420522,5
"n120_seed2030",120,2030,"Stress_total_score",0.0136786099593263,6
"n120_seed2030",120,2030,"Sports_status",0.00995705070672414,7
"n120_seed2030",120,2030,"MSaO2",0.00967072396573073,8
"n120_seed2030",120,2030,"Sleep_quality_total_score",0.00965854182132124,9
"n60_seed2026",60,2026,"Anxiety_total_score",0.154316870248965,1
"n60_seed2026",60,2026,"Drowsiness_total_score",0.12052264479478,2
"n60_seed2026",60,2026,"Depressive_symptoms_total_score",0.12032285057285,3
"n60_seed2026",60,2026,"AHI",0.0367004909430707,4
"n60_seed2026",60,2026,"Coffee_consumption",0.0129494173849928,5
"n60_seed2026",60,2026,"Stress_total_score",0.0122142938590313,6
"n60_seed2026",60,2026,"MSaO2",0.0107197465682632,7
"n60_seed2026",60,2026,"Sleep_quality_total_score",0.00937992251454165,8
"n60_seed2026",60,2026,"Sports_status",0.00894665643880395,9
"n180_seed2026",180,2026,"Anxiety_total_score",0.161696064327141,1
"n180_seed2026",180,2026,"Drowsiness_total_score",0.123232194684405,2
"n180_seed2026",180,2026,"Depressive_symptoms_total_score",0.119377497517631,3
"n180_seed2026",180,2026,"AHI",0.0345695372916869,4
"n180_seed2026",180,2026,"Coffee_consumption",0.0148122223789505,5
"n180_seed2026",180,2026,"Stress_total_score",0.0146555359670974,6
"n180_seed2026",180,2026,"Sports_status",0.010429385943998,7
"n180_seed2026",180,2026,"MSaO2",0.00997343331611147,8
"n180_seed2026",180,2026,"Sleep_quality_total_score",0.00920144772478517,9
