"spec","case_row","shap_spearman_vs_primary","sign_agreement_fraction","local_top3_overlap_n","predicted_probability"
"n120_seed2026",200,1,1,3,1
"n120_seed2026",265,1,1,3,0.998
"n120_seed2027",200,1,1,3,1
"n120_seed2027",265,0.983333333333333,1,3,0.998
"n120_seed2028",200,0.95,1,3,1
"n120_seed2028",265,0.983333333333333,1,3,0.998
"n120_seed2029",200,0.983333333333333,1,3,1
"n120_seed2029",265,0.9,1,3,0.998
"n120_seed2030",200,0.983333333333333,1,3,1
"n120_seed2030",265,0.983333333333333,1,3,0.998
"n60_seed2026",200,0.983333333333333,1,3,1
"n60_seed2026",265,0.983333333333333,1,3,0.998
"n180_seed2026",200,1,1,3,1
"n180_seed2026",265,1,1,3,0.998
